29.09.2020 12:50:52 [main] INFO  com.verbovskiy.task3.reader.DataReader - file was successfully read!
29.09.2020 12:50:52 [Thread-0] INFO  com.verbovskiy.task3.entity.state.impl.ArrivingState - Ship ship1 is in Port, Berth 1
29.09.2020 12:50:52 [Thread-0] INFO  com.verbovskiy.task3.entity.Storage - Containers removed from ship, number of containers in storage - 1
29.09.2020 12:50:52 [Thread-0] INFO  com.verbovskiy.task3.entity.Storage - Containers removed from ship, number of containers in storage - 2
29.09.2020 12:50:52 [Thread-0] INFO  com.verbovskiy.task3.entity.Storage - Containers removed from ship, number of containers in storage - 3
29.09.2020 12:50:52 [Thread-0] INFO  com.verbovskiy.task3.entity.Storage - Containers removed from ship, number of containers in storage - 4
29.09.2020 12:50:52 [Thread-0] INFO  com.verbovskiy.task3.entity.Storage - Containers removed from ship, number of containers in storage - 5
29.09.2020 12:50:52 [Thread-0] INFO  com.verbovskiy.task3.entity.Storage - Containers added to ship, number of containers in storage - 4
29.09.2020 12:50:52 [Thread-0] INFO  com.verbovskiy.task3.entity.Storage - Containers added to ship, number of containers in storage - 3
29.09.2020 12:50:52 [Thread-0] INFO  com.verbovskiy.task3.entity.Storage - Containers added to ship, number of containers in storage - 2
29.09.2020 12:50:52 [Thread-0] INFO  com.verbovskiy.task3.entity.Storage - Containers added to ship, number of containers in storage - 1
29.09.2020 12:50:52 [Thread-0] INFO  com.verbovskiy.task3.entity.state.impl.DepartingState - Ship ship1 left Port from the Berth 1
29.09.2020 12:50:52 [Thread-1] INFO  com.verbovskiy.task3.entity.state.impl.ArrivingState - Ship ship2 is in Port, Berth 2
29.09.2020 12:50:52 [Thread-1] INFO  com.verbovskiy.task3.entity.Storage - Containers removed from ship, number of containers in storage - 2
29.09.2020 12:50:52 [Thread-1] INFO  com.verbovskiy.task3.entity.Storage - Containers added to ship, number of containers in storage - 1
29.09.2020 12:50:52 [Thread-1] INFO  com.verbovskiy.task3.entity.Storage - Containers added to ship, number of containers in storage - 0
29.09.2020 12:50:52 [Thread-1] INFO  com.verbovskiy.task3.entity.Storage - storage is empty
